test,year,school,county,city,math,reading,writing,english,science,total
ACT,2011,BUCKHOLTS SCHOOL,milam,HUNTSVILLE,NA,NA,NA,NA,NA,NA
ACT,2011,BUENA VISTA SCHOOL,pecos,MIDLAND,19,NA,NA,13.8,21.2,17.2
ACT,2011,BUFFALO,leon,HUNTSVILLE,NA,NA,NA,16,16.3,17.5
ACT,2011,BULLARD,smith,KILGORE,NA,NA,NA,20.8,21.5,21.8
ACT,2011,BUNA,jasper,BEAUMONT,NA,NA,NA,18.5,20.2,19.3
ACT,2011,BURBANK,bexar,SAN ANTONIO,NA,NA,NA,16.2,17.8,17.5
ACT,2011,BURGES,el paso,EL PASO,NA,NA,NA,17.1,18.9,18.7
ACT,2011,BURKBURNETT,wichita,WICHITA FALLS,NA,NA,NA,20.8,21.7,21.6
ACT,2011,BURKEVILLE,newton,BEAUMONT,NA,NA,NA,17.1,20.9,19.4
ACT,2011,BURLESON,johnson,FORT WORTH,NA,22,NA,21.1,22.3,22.4
ACT,2011,BURNET,burnet,AUSTIN,NA,NA,NA,20.1,21,20.9
ACT,2011,BURTON,washington,HUNTSVILLE,19,NA,NA,13.5,19.3,17.5
ACT,2011,BUSHLAND,potter,AMARILLO,NA,NA,NA,21.3,21.9,21.7
ACT,2011,BYNUM SCHOOL,hill,WACO,NA,22,NA,18.7,21.3,20.7
ACT,2011,BYRON NELSON,denton,FORT WORTH,NA,NA,NA,14,16.7,16.7
ACT,2011,BYRON P STEELE II,guadalupe,AUSTIN,NA,23,NA,21.4,23.2,22.9
ACT,2011,C C WINN HIGH SCHOOL,maverick,SAN ANTONIO,NA,NA,NA,13.8,16.8,16.2
ACT,2011,C E ELLISON,bell,WACO,20,NA,NA,18.2,19.9,19.6
ACT,2011,C E KING,harris,HOUSTON,NA,NA,NA,15.6,17.9,17.4
ACT,2011,CADDO MILLS,hunt,RICHARDSON,NA,NA,NA,20.4,21.8,22
ACT,2011,CALALLEN,nueces,CORPUS CHRISTI,NA,NA,NA,19.6,21.1,20.6
ACT,2011,CALDWELL,burleson,HUNTSVILLE,NA,NA,NA,19.2,21.9,20.8
ACT,2011,CALHOUN,calhoun,VICTORIA,19,17,NA,15.1,17.6,17.3
ACT,2011,CALLISBURG,cooke,FORT WORTH,NA,NA,NA,20.4,20.6,21.4
ACT,2011,CALVERT SCHOOL,robertson,HUNTSVILLE,NA,NA,NA,13.4,16.1,15.7
